/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"carretera  particular de la escorzonera","carretera  particular de la escorzonera","carretera particular de la escorzonera"
"carretera  particular de la zarzuela","carretera  particular de la zarzuela","carretera particular de la zarzuela"
"calle  particular del canal de isabel ii","calle  particular del canal de isabel ii","calle particular del canal de isabel ii","particular del canal de isabel ii"
"carretera  particular del canal de isabel ii","carretera  particular del canal de isabel ii","carretera particular del canal de isabel ii"
"camino  particular del canal de lozoya","camino  particular del canal de lozoya","camino particular del canal de lozoya"
"carretera  particular del chalet","carretera  particular del chalet","carretera particular del chalet"
"carretera  particular del tiro de pichón","carretera  particular del tiro de pichón","carretera particular del tiro de pichón"
"plaza de parvillas","plaza de parvillas","plaza parvillas"
"calle de parvillas altas","calle de parvillas altas","calle parvillas altas","parvillas altas"
"callejón de parvillas altas","callejón de parvillas altas","callejón parvillas altas","parvillas altas"
"calle de parvillas bajas","calle de parvillas bajas","calle parvillas bajas","parvillas bajas"
"calle de la pasa","calle de la pasa","calle pasa","pasa"
"puente  pasarela de arrabalmagna","puente  pasarela de arrabalmagna","puente pasarela de arrabalmagna"
"puente  pasarela de la quinta de la paloma","puente  pasarela de la quinta de la paloma","puente pasarela de la quinta de la paloma"
"puente  pasarela de sancho dávila","puente  pasarela de sancho dávila","puente pasarela de sancho dávila"
"puente  pasarela de valderribas","puente  pasarela de valderribas","puente pasarela de valderribas"
"puente  pasarela del piramidón","puente  pasarela del piramidón","puente pasarela del piramidón"
"glorieta de pascual bravo","glorieta de pascual bravo","glorieta pascual bravo"
"calle de pascual rodríguez","calle de pascual rodríguez","calle pascual rodríguez","pascual rodríguez"
"calle de pasifae","calle de pasifae","calle pasifae","pasifae"
"calle de la pasionaria","calle de la pasionaria","calle pasionaria","pasionaria"
"calle del paso de villamanrique","calle del paso de villamanrique","calle paso de villamanrique","paso de villamanrique"
"calle de pasteur","calle de pasteur","calle pasteur","pasteur"
"calle del pastor","calle del pastor","calle pastor","pastor"
"calle de pastor muriel","calle de pastor muriel","calle pastor muriel","pastor muriel"
"calle de pastora imperio","calle de pastora imperio","calle pastora imperio","pastora imperio"
"calle de los pastores","calle de los pastores","calle pastores","pastores"
"calle de pastrana","calle de pastrana","calle pastrana","pastrana"
"calle de paterna","calle de paterna","calle paterna","paterna"
"calle de la patilla","calle de la patilla","calle patilla","patilla"
"glorieta de los patines","glorieta de los patines","glorieta patines"
"calle del patio de don román","calle del patio de don román","calle patio de don román","patio de don román"
"calle del patio de la imprenta","calle del patio de la imprenta","calle patio de la imprenta","patio de la imprenta"
"calle del patio de la litografía","calle del patio de la litografía","calle patio de la litografía","patio de la litografía"
"calle del patio de santiago","calle del patio de santiago","calle patio de santiago","patio de santiago"
"calle de patones","calle de patones","calle patones","patones"
"costanilla del patriarca","costanilla del patriarca","costanilla patriarca"
"calle del patriarca eijo y garay","calle del patriarca eijo y garay","calle patriarca eijo y garay","patriarca eijo y garay"
"plaza del patriarca eijo y garay","plaza del patriarca eijo y garay","plaza patriarca eijo y garay"
"calle del patriarca san josé","calle del patriarca san josé","calle patriarca san josé","patriarca san josé"
"plaza de patricio aguado","plaza de patricio aguado","plaza patricio aguado"
"plaza de patricio martínez","plaza de patricio martínez","plaza patricio martínez"
"calle del patrimonio de la humanidad","calle del patrimonio de la humanidad","calle patrimonio de la humanidad","patrimonio de la humanidad"
"calle de patrocinio gómez","calle de patrocinio gómez","calle patrocinio gómez","patrocinio gómez"
"calle de paul guinard","calle de paul guinard","calle paul guinard","paul guinard"
"calle de paula de la vega","calle de paula de la vega","calle paula de la vega","paula de la vega"
"camino del paular","camino del paular","camino paular"
"calle de paulina odiaga","calle de paulina odiaga","calle paulina odiaga","paulina odiaga"
"calle de pavía","calle de pavía","calle pavía","pavía"
"calle del pavo real","calle del pavo real","calle pavo real","pavo real"
"calle del payaso fofó","calle del payaso fofó","calle payaso fofó","payaso fofó"
"avenida de la paz","avenida de la paz","avenida paz"
"calle de la paz","calle de la paz","calle paz","paz"
"puente de la paz","puente de la paz","puente paz"
"calle de peal","calle de peal","calle peal","peal"
"calle de pechuán","calle de pechuán","calle pechuán","pechuán"
"calle del pedernal","calle del pedernal","calle pedernal","pedernal"
"calle de pedrafita do cebreiro","calle de pedrafita do cebreiro","calle pedrafita do cebreiro","pedrafita do cebreiro"
"calle de pedralba","calle de pedralba","calle pedralba","pedralba"
"camino de pedregosa","camino de pedregosa","camino pedregosa"
"calle de pedreña","calle de pedreña","calle pedreña","pedreña"
"camino de pedreros","camino de pedreros","camino pedreros"
"calle de pedrezuela","calle de pedrezuela","calle pedrezuela","pedrezuela"
"calle de pedro alonso","calle de pedro alonso","calle pedro alonso","pedro alonso"
"calle de pedro antonio de alarcón","calle de pedro antonio de alarcón","calle pedro antonio de alarcón","pedro antonio de alarcón"
"calle de pedro barreda","calle de pedro barreda","calle pedro barreda","pedro barreda"
"calle de pedro bautista pino","calle de pedro bautista pino","calle pedro bautista pino","pedro bautista pino"
"calle de pedro bosch","calle de pedro bosch","calle pedro bosch","pedro bosch"
"calle de pedro callejo","calle de pedro callejo","calle pedro callejo","pedro callejo"
"calle de pedro campos","calle de pedro campos","calle pedro campos","pedro campos"
"glorieta de pedro casariego","glorieta de pedro casariego","glorieta pedro casariego"
"calle de pedro de répide","calle de pedro de répide","calle pedro de répide","pedro de répide"
"calle de pedro de ribera","calle de pedro de ribera","calle pedro de ribera","pedro de ribera"
"calle de pedro de valdivia","calle de pedro de valdivia","calle pedro de valdivia","pedro de valdivia"
"avenida de pedro díez","avenida de pedro díez","avenida pedro díez"
"calle de pedro domingo","calle de pedro domingo","calle pedro domingo","pedro domingo"
"calle de pedro escudero","calle de pedro escudero","calle pedro escudero","pedro escudero"
"calle de pedro fernández labrada","calle de pedro fernández labrada","calle pedro fernández labrada","pedro fernández labrada"
"calle de pedro garcía méndez","calle de pedro garcía méndez","calle pedro garcía méndez","pedro garcía méndez"
"calle de pedro garcía ortiz","calle de pedro garcía ortiz","calle pedro garcía ortiz","pedro garcía ortiz"
"calle de pedro heredia","calle de pedro heredia","calle pedro heredia","pedro heredia"
"calle de pedro jiménez","calle de pedro jiménez","calle pedro jiménez","pedro jiménez"
"calle de pedro justo dorado dellmans","calle de pedro justo dorado dellmans","calle pedro justo dorado dellmans","pedro justo dorado dellmans"
"calle de pedro laborde","calle de pedro laborde","calle pedro laborde","pedro laborde"
"travesía de pedro laborde","travesía de pedro laborde","travesía pedro laborde"
"plaza de pedro marcos","plaza de pedro marcos","plaza pedro marcos"
"calle de pedro martínez","calle de pedro martínez","calle pedro martínez","pedro martínez"
"avenida de pedro mata","avenida de pedro mata","avenida pedro mata"
"calle de pedro medrano","calle de pedro medrano","calle pedro medrano","pedro medrano"
"calle de pedro moreno","calle de pedro moreno","calle pedro moreno","pedro moreno"
"calle de pedro muguruza","calle de pedro muguruza","calle pedro muguruza","pedro muguruza"
"calle de pedro muñoz seca","calle de pedro muñoz seca","calle pedro muñoz seca","pedro muñoz seca"
"calle de pedro pérez alonso","calle de pedro pérez alonso","calle pedro pérez alonso","pedro pérez alonso"
"calle de pedro rico","calle de pedro rico","calle pedro rico","pedro rico"
"calle de pedro rogel","calle de pedro rogel","calle pedro rogel","pedro rogel"
"calle de pedro romero","calle de pedro romero","calle pedro romero","pedro romero"
"calle de pedro sainz rodríguez","calle de pedro sainz rodríguez","calle pedro sainz rodríguez","pedro sainz rodríguez"
"calle de pedro salinas","calle de pedro salinas","calle pedro salinas","pedro salinas"
"calle de pedro teixeira","calle de pedro teixeira","calle pedro teixeira","pedro teixeira"
"calle de pedro tezano","calle de pedro tezano","calle pedro tezano","pedro tezano"
"calle de pedro unanue","calle de pedro unanue","calle pedro unanue","pedro unanue"
"calle de pedro villar","calle de pedro villar","calle pedro villar","pedro villar"
"calle de pedro yagüe","calle de pedro yagüe","calle pedro yagüe","pedro yagüe"
"plaza de pedro zerolo","plaza de pedro zerolo","plaza pedro zerolo"
"calle de pedroches","calle de pedroches","calle pedroches","pedroches"
"calle de pedrosa del príncipe","calle de pedrosa del príncipe","calle pedrosa del príncipe","pedrosa del príncipe"
"calle de pegaso","calle de pegaso","calle pegaso","pegaso"
"calle de pego","calle de pego","calle pego","pego"
"calle de peguerinos","calle de peguerinos","calle peguerinos","peguerinos"
"calle de peironcely","calle de peironcely","calle peironcely","peironcely"
"calle de pelayo","calle de pelayo","calle pelayo","pelayo"
"camino de los pelendengues","camino de los pelendengues","camino pelendengues"
"calle de los peleteros","calle de los peleteros","calle peleteros","peleteros"
"calle del pelícano","calle del pelícano","calle pelícano","pelícano"
"calle del peloponeso","calle del peloponeso","calle peloponeso","peloponeso"
"calle del péndulo","calle del péndulo","calle péndulo","péndulo"
"calle de penélope","calle de penélope","calle penélope","penélope"
"calle de la península","calle de la península","calle península","península"
"calle del pensamiento","calle del pensamiento","calle pensamiento","pensamiento"
"plaza del pensionista","plaza del pensionista","plaza pensionista"
"calle de la peña amaya","calle de la peña amaya","calle peña amaya","peña amaya"
"calle de la peña ambote","calle de la peña ambote","calle peña ambote","peña ambote"
"calle de la peña auseba","calle de la peña auseba","calle peña auseba","peña auseba"
"calle de la peña cavero","calle de la peña cavero","calle peña cavero","peña cavero"
"plaza de peña cavero","plaza de peña cavero","plaza peña cavero"
"calle de la peña cerredo","calle de la peña cerredo","calle peña cerredo","peña cerredo"
"calle de la peña cervera","calle de la peña cervera","calle peña cervera","peña cervera"
"calle de la peña citores","calle de la peña citores","calle peña citores","peña citores"
"calle de la peña de francia","calle de la peña de francia","calle peña de francia","peña de francia"
"calle de la peña de la atalaya","calle de la peña de la atalaya","calle peña de la atalaya","peña de la atalaya"
"calle de la peña de la miel","calle de la peña de la miel","calle peña de la miel","peña de la miel"
"calle de la peña de oroel","calle de la peña de oroel","calle peña de oroel","peña de oroel"
"calle de la peña de vargas","calle de la peña de vargas","calle peña de vargas","peña de vargas"
"calle de la peña del águila","calle de la peña del águila","calle peña del águila","peña del águila"
"calle de la peña del cuervo","calle de la peña del cuervo","calle peña del cuervo","peña del cuervo"
"calle de la peña del oso","calle de la peña del oso","calle peña del oso","peña del oso"
"calle de la peña del sol","calle de la peña del sol","calle peña del sol","peña del sol"
"calle de la peña del yelmo","calle de la peña del yelmo","calle peña del yelmo","peña del yelmo"
"calle de la peña dorada","calle de la peña dorada","calle peña dorada","peña dorada"
"calle de la peña falconera","calle de la peña falconera","calle peña falconera","peña falconera"
"calle de la peña gorbea","calle de la peña gorbea","calle peña gorbea","peña gorbea"
"plaza de la peña gudina","plaza de la peña gudina","plaza peña gudina"
"plaza de la peña horcajo","plaza de la peña horcajo","plaza peña horcajo"
"calle de la peña labra","calle de la peña labra","calle peña labra","peña labra"
"plaza de la peña morraz","plaza de la peña morraz","plaza peña morraz"
"calle de la peña nevada","calle de la peña nevada","calle peña nevada","peña nevada"
"calle de la peña nofre","calle de la peña nofre","calle peña nofre","peña nofre"
"calle de la peña nueva","calle de la peña nueva","calle peña nueva","peña nueva"
"calle de la peña oville","calle de la peña oville","calle peña oville","peña oville"
"calle de la peña pintada","calle de la peña pintada","calle peña pintada","peña pintada"
"avenida de la peña prieta","avenida de la peña prieta","avenida peña prieta"
"calle de la peña redonda","calle de la peña redonda","calle peña redonda","peña redonda"
"calle de la peña rivera","calle de la peña rivera","calle peña rivera","peña rivera"
"calle de la peña rubia","calle de la peña rubia","calle peña rubia","peña rubia"
"calle de peña santa","calle de peña santa","calle peña santa","peña santa"
"calle de la peña sirio","calle de la peña sirio","calle peña sirio","peña sirio"
"calle de la peña sorrapia","calle de la peña sorrapia","calle peña sorrapia","peña sorrapia"
"calle de la peña trevinca","calle de la peña trevinca","calle peña trevinca","peña trevinca"
"calle de la peña ubiña","calle de la peña ubiña","calle peña ubiña","peña ubiña"
"calle de la peña veiga","calle de la peña veiga","calle peña veiga","peña veiga"
"calle de la peña vieja","calle de la peña vieja","calle peña vieja","peña vieja"
"plaza de la peñablanca","plaza de la peñablanca","plaza peñablanca"
"calle de peñafiel","calle de peñafiel","calle peñafiel","peñafiel"
"calle de peñalara","calle de peñalara","calle peñalara","peñalara"
"calle de peñalara de aravaca","calle de peñalara de aravaca","calle peñalara de aravaca","peñalara de aravaca"
"calle del peñalba","calle del peñalba","calle peñalba","peñalba"
"calle de peñaranda de bracamonte","calle de peñaranda de bracamonte","calle peñaranda de bracamonte","peñaranda de bracamonte"
"calle de peñarroya","calle de peñarroya","calle peñarroya","peñarroya"
"calle de las peñas del arcipreste","calle de las peñas del arcipreste","calle peñas del arcipreste","peñas del arcipreste"
"calle de las peñas del castillo","calle de las peñas del castillo","calle peñas del castillo","peñas del castillo"
"calle de las peñas largas","calle de las peñas largas","calle peñas largas","peñas largas"
"calle de las peñuelas","calle de las peñuelas","calle peñuelas","peñuelas"
"plaza de las peñuelas","plaza de las peñuelas","plaza peñuelas"
"calle de los peones","calle de los peones","calle peones","peones"
"calle de las peonías","calle de las peonías","calle peonías","peonías"
"calle de pepe hillo","calle de pepe hillo","calle pepe hillo","pepe hillo"
"calle de pepe isbert","calle de pepe isbert","calle pepe isbert","pepe isbert"
"calle del pepión","calle del pepión","calle pepión","pepión"
"calle de peralejo","calle de peralejo","calle peralejo","peralejo"
"camino de perales","camino de perales","camino perales"
"paseo de los perales","paseo de los perales","paseo perales"
"calle de perales de tajuña","calle de perales de tajuña","calle perales de tajuña","perales de tajuña"
"calle de perales del río","calle de perales del río","calle perales del río","perales del río"
"camino de la perdiguera","camino de la perdiguera","camino perdiguera"
"pista de la perdiguera","pista de la perdiguera","pista perdiguera"
"calle de la perdiz","calle de la perdiz","calle perdiz","perdiz"
"calle del perejil","calle del perejil","calle perejil","perejil"
"calle de perelada","calle de perelada","calle perelada","perelada"
"calle de pérez ayuso","calle de pérez ayuso","calle pérez ayuso","pérez ayuso"
"calle de pérez cidón","calle de pérez cidón","calle pérez cidón","pérez cidón"
"glorieta de pérez cidón","glorieta de pérez cidón","glorieta pérez cidón"
"calle de pérez de victoria","calle de pérez de victoria","calle pérez de victoria","pérez de victoria"
"travesía de pérez de victoria","travesía de pérez de victoria","travesía pérez de victoria"
"calle de pérez escrich","calle de pérez escrich","calle pérez escrich","pérez escrich"
"calle de pérez galdós","calle de pérez galdós","calle pérez galdós","pérez galdós"
"glorieta de pérez galdós","glorieta de pérez galdós","glorieta pérez galdós"
"calle de pérez herrera","calle de pérez herrera","calle pérez herrera","pérez herrera"
"calle del pergamino","calle del pergamino","calle pergamino","pergamino"
"calle de periana","calle de periana","calle periana","periana"
"calle de pericles","calle de pericles","calle pericles","pericles"
"calle de perico el gordo","calle de perico el gordo","calle perico el gordo","perico el gordo"
"calle de las perindolas","calle de las perindolas","calle perindolas","perindolas"
"avenida de la perla","avenida de la perla","avenida perla"
"calle de perpetua díaz","calle de perpetua díaz","calle perpetua díaz","perpetua díaz"
"calle de perseo","calle de perseo","calle perseo","perseo"
"plaza de perseo","plaza de perseo","plaza perseo"
"calle de la persuasión","calle de la persuasión","calle persuasión","persuasión"
"avenida de perú","avenida de perú","avenida perú"
"plaza de perú","plaza de perú","plaza perú"
"calle de los peruchos","calle de los peruchos","calle peruchos","peruchos"
"calle de los pescadores","calle de los pescadores","calle pescadores","pescadores"
"calle de pescara","calle de pescara","calle pescara","pescara"
"avenida de la peseta","avenida de la peseta","avenida peseta"
"calle del peso hispano","calle del peso hispano","calle peso hispano","peso hispano"
"calle de pesquera de duero","calle de pesquera de duero","calle pesquera de duero","pesquera de duero"
"calle del petirrojo","calle del petirrojo","calle petirrojo","petirrojo"
"calle del petróleo","calle del petróleo","calle petróleo","petróleo"
"calle de las petunias","calle de las petunias","calle petunias","petunias"
"calle de peyre","calle de peyre","calle peyre","peyre"
"calle del pez","calle del pez","calle pez","pez"
"calle del pez austral","calle del pez austral","calle pez austral","pez austral"
"calle del pez volador","calle del pez volador","calle pez volador","pez volador"
"calle del piamonte","calle del piamonte","calle piamonte","piamonte"
"calle del piano","calle del piano","calle piano","piano"
"calle del pianoforte","calle del pianoforte","calle pianoforte","pianoforte"
"calle de la picaza","calle de la picaza","calle picaza","picaza"
"avenida de las piceas","avenida de las piceas","avenida piceas"
"calle del pico almanzor","calle del pico almanzor","calle pico almanzor","pico almanzor"
"calle del pico almenara","calle del pico almenara","calle pico almenara","pico almenara"
"calle del pico anayet","calle del pico anayet","calle pico anayet","pico anayet"
"calle del pico balaitus","calle del pico balaitus","calle pico balaitus","pico balaitus"
"calle del pico beriaín","calle del pico beriaín","calle pico beriaín","pico beriaín"
"calle del pico cebollera","calle del pico cebollera","calle pico cebollera","pico cebollera"
"calle del pico cejo","calle del pico cejo","calle pico cejo","pico cejo"
"calle del pico chilegua","calle del pico chilegua","calle pico chilegua","pico chilegua"
"calle del pico clavero","calle del pico clavero","calle pico clavero","pico clavero"
"calle del pico collarada","calle del pico collarada","calle pico collarada","pico collarada"
"calle del pico cuadramón","calle del pico cuadramón","calle pico cuadramón","pico cuadramón"
"calle del pico de alba","calle del pico de alba","calle pico de alba","pico de alba"
"calle del pico de la brújula","calle del pico de la brújula","calle pico de la brújula","pico de la brújula"
"calle del pico de la cierva","calle del pico de la cierva","calle pico de la cierva","pico de la cierva"
"calle del pico de la golondrina","calle del pico de la golondrina","calle pico de la golondrina","pico de la golondrina"
"calle del pico de la maliciosa","calle del pico de la maliciosa","calle pico de la maliciosa","pico de la maliciosa"
"calle del pico de la miel","calle del pico de la miel","calle pico de la miel","pico de la miel"
"calle del pico de la muela","calle del pico de la muela","calle pico de la muela","pico de la muela"
"calle del pico de la pinareja","calle del pico de la pinareja","calle pico de la pinareja","pico de la pinareja"
"calle del pico de los artilleros","calle del pico de los artilleros","calle pico de los artilleros","pico de los artilleros"
"calle del pico de majalasna","calle del pico de majalasna","calle pico de majalasna","pico de majalasna"
"calle del pico de montánchez","calle del pico de montánchez","calle pico de montánchez","pico de montánchez"
"calle del pico de mulhacén","calle del pico de mulhacén","calle pico de mulhacén","pico de mulhacén"
"calle del pico de peña golosa","calle del pico de peña golosa","calle pico de peña golosa","pico de peña golosa"
"calle del pico del águila","calle del pico del águila","calle pico del águila","pico del águila"
"colonia del pico del pañuelo","colonia del pico del pañuelo","colonia pico del pañuelo"
"calle del pico del saltadero","calle del pico del saltadero","calle pico del saltadero","pico del saltadero"
"calle del pico espigüete","calle del pico espigüete","calle pico espigüete","pico espigüete"
"calle del pico javalón","calle del pico javalón","calle pico javalón","pico javalón"
"calle del pico mampodre","calle del pico mampodre","calle pico mampodre","pico mampodre"
"calle del pico maupas","calle del pico maupas","calle pico maupas","pico maupas"
"calle del pico milano","calle del pico milano","calle pico milano","pico milano"
"calle del pico moncayo","calle del pico moncayo","calle pico moncayo","pico moncayo"
"calle del pico ocejón","calle del pico ocejón","calle pico ocejón","pico ocejón"
"calle del pico pasapán","calle del pico pasapán","calle pico pasapán","pico pasapán"
"plaza del pico salvaguardia","plaza del pico salvaguardia","plaza pico salvaguardia"
"calle del pico teide","calle del pico teide","calle pico teide","pico teide"
"calle del pico veleta","calle del pico veleta","calle pico veleta","pico veleta"
"calle de los picos de europa","calle de los picos de europa","calle picos de europa","picos de europa"
"calle de los picos de urbión","calle de los picos de urbión","calle picos de urbión","picos de urbión"
"calle de piedrabuena","calle de piedrabuena","calle piedrabuena","piedrabuena"
"glorieta de piedrafita del cebrero","glorieta de piedrafita del cebrero","glorieta piedrafita del cebrero"
"calle de piedrahita","calle de piedrahita","calle piedrahita","piedrahita"
"calle de piedralaves","calle de piedralaves","calle piedralaves","piedralaves"
"camino de las piedras","camino de las piedras","camino piedras"
"calle de pilar","calle de pilar","calle pilar","pilar"
"calle de pilar andrade","calle de pilar andrade","calle pilar andrade","pilar andrade"
"calle de pilar bellosillo","calle de pilar bellosillo","calle pilar bellosillo","pilar bellosillo"
"calle de pilar cavero","calle de pilar cavero","calle pilar cavero","pilar cavero"
"calle de pilar de madariaga rojo","calle de pilar de madariaga rojo","calle pilar de madariaga rojo","pilar de madariaga rojo"
"calle de pilar de zaragoza","calle de pilar de zaragoza","calle pilar de zaragoza","pilar de zaragoza"
"calle de pilar lorengar","calle de pilar lorengar","calle pilar lorengar","pilar lorengar"
"calle de pilar millán astray","calle de pilar millán astray","calle pilar millán astray","pilar millán astray"
"glorieta de pilar miró","glorieta de pilar miró","glorieta pilar miró"
"calle de pilar nogueiro","calle de pilar nogueiro","calle pilar nogueiro","pilar nogueiro"
"travesía de pilar nogueiro","travesía de pilar nogueiro","travesía pilar nogueiro"
"calle de pilar pérez lavid","calle de pilar pérez lavid","calle pilar pérez lavid","pilar pérez lavid"
"calle de pilar rueda","calle de pilar rueda","calle pilar rueda","pilar rueda"
"calle de la pilarica","calle de la pilarica","calle pilarica","pilarica"
"calle del pileo","calle del pileo","calle pileo","pileo"
"plaza del pilón","plaza del pilón","plaza pilón"
"camino de los pilones","camino de los pilones","camino pilones"
"calle de la pimienta","calle de la pimienta","calle pimienta","pimienta"
"calle del pinar","calle del pinar","calle pinar","pinar"
"camino del pinar chico","camino del pinar chico","camino pinar chico"
"calle del pinar de san josé","calle del pinar de san josé","calle pinar de san josé","pinar de san josé"
"calle del pinar del rey","calle del pinar del rey","calle pinar del rey","pinar del rey"
"colonia del pinar del rey","colonia del pinar del rey","colonia pinar del rey"
"camino del pinar grande","camino del pinar grande","camino pinar grande"
"calle de los pinarejos","calle de los pinarejos","calle pinarejos","pinarejos"
"calle del pinarillo","calle del pinarillo","calle pinarillo","pinarillo"
"plaza de los pinazo","plaza de los pinazo","plaza pinazo"
"calle del pingüino","calle del pingüino","calle pingüino","pingüino"
"calle de pinilla del valle","calle de pinilla del valle","calle pinilla del valle","pinilla del valle"
"calle de los pinillas","calle de los pinillas","calle pinillas","pinillas"
"colonia del pino","colonia del pino","colonia pino"
"camino de los pinos","camino de los pinos","camino pinos"
"paseo de los pinos","paseo de los pinos","paseo pinos"
"calle de pinos alta","calle de pinos alta","calle pinos alta","pinos alta"
"travesía de pinos alta","travesía de pinos alta","travesía pinos alta"
"calle de pinos baja","calle de pinos baja","calle pinos baja","pinos baja"
"calle de los pinos de osuna","calle de los pinos de osuna","calle pinos de osuna","pinos de osuna"
"calle del pinsapo","calle del pinsapo","calle pinsapo","pinsapo"
"calle del pintor antonio saura","calle del pintor antonio saura","calle pintor antonio saura","pintor antonio saura"
"calle del pintor brenes","calle del pintor brenes","calle pintor brenes","pintor brenes"
"calle del pintor domínguez","calle del pintor domínguez","calle pintor domínguez","pintor domínguez"
"calle del pintor el greco","calle del pintor el greco","calle pintor el greco","pintor el greco"
"calle del pintor francisco llorens","calle del pintor francisco llorens","calle pintor francisco llorens","pintor francisco llorens"
"calle del pintor ignacio de zuloaga","calle del pintor ignacio de zuloaga","calle pintor ignacio de zuloaga","pintor ignacio de zuloaga"
"calle del pintor juan gris","calle del pintor juan gris","calle pintor juan gris","pintor juan gris"
"plaza del pintor lucas","plaza del pintor lucas","plaza pintor lucas"
"calle del pintor lucio muñoz","calle del pintor lucio muñoz","calle pintor lucio muñoz","pintor lucio muñoz"
"calle del pintor moreno carbonero","calle del pintor moreno carbonero","calle pintor moreno carbonero","pintor moreno carbonero"
"calle del pintor ribera","calle del pintor ribera","calle pintor ribera","pintor ribera"
"paseo del pintor rosales","paseo del pintor rosales","paseo pintor rosales"
"calle del pintor sorolla","calle del pintor sorolla","calle pintor sorolla","pintor sorolla"
"glorieta del pintor sorolla","glorieta del pintor sorolla","glorieta pintor sorolla"
"calle de la pintora ángeles santos","calle de la pintora ángeles santos","calle pintora ángeles santos","pintora ángeles santos"
"calle de los pintores","calle de los pintores","calle pintores","pintores"
"calle del pinzón","calle del pinzón","calle pinzón","pinzón"
"travesía del pinzón","travesía del pinzón","travesía pinzón"
"calle de la piña","calle de la piña","calle piña","piña"
"camino del piñonero","camino del piñonero","camino piñonero"
"paseo del piñonero","paseo del piñonero","paseo piñonero"
"calle de piñuecar","calle de piñuecar","calle piñuecar","piñuecar"
"calle de pío baroja","calle de pío baroja","calle pío baroja","pío baroja"
"calle de pío del río hortega","calle de pío del río hortega","calle pío del río hortega","pío del río hortega"
"calle de pío felipe","calle de pío felipe","calle pío felipe","pío felipe"
"avenida de pío xii","avenida de pío xii","avenida pío xii"
"calle de piqueñas","calle de piqueñas","calle piqueñas","piqueñas"
"calle de piquer","calle de piquer","calle piquer","piquer"
"calle de la piragua","calle de la piragua","calle piragua","piragua"
"glorieta de las pirámides","glorieta de las pirámides","glorieta pirámides"
"calle de los pirineos","calle de los pirineos","calle pirineos","pirineos"
"calle de la pirita","calle de la pirita","calle pirita","pirita"
"calle de la pirotecnia","calle de la pirotecnia","calle pirotecnia","pirotecnia"
"calle de pirra","calle de pirra","calle pirra","pirra"
"calle de piscis","calle de piscis","calle piscis","piscis"
"calle de la pista","calle de la pista","calle pista","pista"
"calle del pisueña","calle del pisueña","calle pisueña","pisueña"
"calle del pisuerga","calle del pisuerga","calle pisuerga","pisuerga"
"calle de pitágoras","calle de pitágoras","calle pitágoras","pitágoras"
"calle de pivijay","calle de pivijay","calle pivijay","pivijay"
"calle de la pizarra","calle de la pizarra","calle pizarra","pizarra"
"calle de pizarro","calle de pizarro","calle pizarro","pizarro"
"calle del plan parcial","calle del plan parcial","calle plan parcial","plan parcial"
"calle del planeta","calle del planeta","calle planeta","planeta"
"calle del planeta tierra","calle del planeta tierra","calle planeta tierra","planeta tierra"
"avenida del planetario","avenida del planetario","avenida planetario"
"calle de las plantas","calle de las plantas","calle plantas","plantas"
"calle de la plata","calle de la plata","calle plata","plata"
"travesía de la plata","travesía de la plata","travesía plata"
"paseo  plata y castañar","paseo  plata y castañar","paseo plata y castañar"
"calle del plátano","calle del plátano","calle plátano","plátano"
"paseo de los plátanos","paseo de los plátanos","paseo plátanos"
"camino de las platas","camino de las platas","camino platas"
"calle de platea","calle de platea","calle platea","platea"
"plaza de la platería de martínez","plaza de la platería de martínez","plaza platería de martínez"
"calle de las platerías","calle de las platerías","calle platerías","platerías"
"calle de los platillos","calle de los platillos","calle platillos","platillos"
"calle del platino","calle del platino","calle platino","platino"
"plaza de platón","plaza de platón","plaza platón"
"calle de la playa américa","calle de la playa américa","calle playa américa","playa américa"
"calle de la playa de aro","calle de la playa de aro","calle playa de aro","playa de aro"
"calle de la playa de barlovento","calle de la playa de barlovento","calle playa de barlovento","playa de barlovento"
"calle de la playa de bolnuevo","calle de la playa de bolnuevo","calle playa de bolnuevo","playa de bolnuevo"
"calle de la playa de formentor","calle de la playa de formentor","calle playa de formentor","playa de formentor"
"calle de la playa de la caleta","calle de la playa de la caleta","calle playa de la caleta","playa de la caleta"
"calle de playa de la concha","calle de playa de la concha","calle playa de la concha","playa de la concha"
"calle de playa de las catedrales","calle de playa de las catedrales","calle playa de las catedrales","playa de las catedrales"
